dates;lai_515;cab_515;cbrown_515;lai_542;cab_542;cbrown_542;lai_508;cab_508;cbrown_508;lai_319;cab_319;cbrown_319;lai_301;cab_301;cbrown_301
2017-07-24;2.7402742;71.43146;0.13596173;1.2723514;65.78125;0.4364286;1.1126211;55.91894;0.5244386;1.6834188;71.49876;0.26224175;0.48338875;61.676018;0.7503333
2017-07-29;2.8428009;71.45029;0.13028246;1.1199248;66.10892;0.48067495;0.8817887;56.142975;0.6028329;1.712879;71.09342;0.25371128;0.4169807;62.29391;0.80757636
2017-08-03;2.8990114;71.18259;0.12730867;1.000897;65.80019;0.51535994;0.70789;55.90521;0.67571515;1.7117784;70.29217;0.24762021;0.38188124;62.507492;0.8099434
2017-08-08;2.9083817;70.648315;0.12664366;0.91659313;64.79363;0.53032124;0.59029603;55.085224;0.7179108;1.679718;69.11756;0.24387887;0.37027565;62.2628;0.75606704
2017-08-13;2.87203;69.86672;0.12802418;0.86471224;63.106125;0.51788306;0.5237396;53.637394;0.69904476;1.618003;67.61551;0.24246186;0.37359768;61.562378;0.6680307
2017-08-18;2.7923286;68.85555;0.1313014;0.84017026;60.833992;0.47864792;0.49947655;51.60094;0.6099059;1.5295125;65.8541;0.24341038;0.38366923;60.465954;0.5735048
2017-08-23;2.6726084;67.63136;0.13643649;0.8361942;58.14124;0.42211902;0.50669473;49.096596;0.47895455;1.4184486;63.920433;0.24683768;0.39360443;59.082943;0.49018344
2017-08-28;2.5169888;66.21058;0.14351037;0.84546864;55.2373;0.3606786;0.53396285;46.310753;0.34727836;1.2900002;61.915268;0.25293943;0.39838564;57.55808;0.42435345
2017-09-02;2.3303163;64.61127;0.1527506;0.86115336;52.348526;0.30349433;0.5705291;43.469757;0.23851798;1.1499516;59.945694;0.26200902;0.39508495;56.05262;0.37591177
2017-09-07;2.118162;62.8553;0.16458294;0.8776389;49.688267;0.25492314;0.6073273;40.808834;0.15710627;1.0042698;58.11626;0.27446207;0.38276157;54.72368;0.34255338
2017-09-12;1.8868229;60.97039;0.17972319;0.8909714;47.430763;0.21590923;0.6376113;38.54058;0.098836504;0.8587097;56.519478;0.2908735;0.3621137;53.70481;0.32177797
2017-09-17;1.6432682;58.99172;0.19934343;0.89894664;45.69262;0.18573666;0.6572034;36.827774;0.05975868;0.718458;55.226856;0.31203976;0.33498484;53.09022;0.31154433
2017-09-22;1.3949988;56.962734;0.22538428;0.90092754;44.524014;0.16313043;0.66439855;35.764236;0.04318419;0.58785343;54.281593;0.3390929;0.30382934;52.9246;0.3103432
2017-09-27;1.1498146;54.93493;0.26118094;0.89748055;43.909916;0.14675808;0.6596082;35.36593;0.046812627;0.47019815;53.694023;0.37373516;0.2712272;53.199368;0.31707653
2017-10-02;0.91550845;52.96646;0.31282988;0.88993245;43.779766;0.13539958;0.6448448;35.57272;0.06342176;0.36767736;53.440796;0.41879234;0.23951004;53.8556;0.3309123
2017-10-07;0.69953024;51.119766;0.39258528;0.87994426;44.02287;0.12797807;0.62314636;36.259823;0.08380009;0.28139395;53.467896;0.47989914;0.21052903;54.79264;0.35119182
2017-10-12;0.50867075;49.458378;0.5292931;0.8691682;44.50643;0.12354863;0.5980252;37.25652;0.09246324;0.2115104;53.69754;0.58943623;0.1855652;55.88118;0.3781589
2017-10-17;0.34880385;48.04319;0.8211433;0.8590243;45.09328;0.12128254;0.5729965;38.369347;0.10086928;0.16019894;54.03813;0.7345275;0.16561975;56.97899;0.40991274
2017-10-22;0.23073184;46.928673;4.29413;0.8505954;45.65709;0.12057865;0.5512141;39.40667;0.10817821;0.12757702;54.395996;1.1583811;0.15108234;57.947395;0.4499926
2017-10-27;0.18436006;46.15928;10.53184;0.8446182;46.09418;0.12133614;0.5352167;40.20168;0.11201297;0.114928134;54.687523;2.4235191;0.14189565;58.66679;0.4908399
2017-11-01;0.18087506;45.766438;8.713695;0.84153026;46.33153;0.12173811;0.5267676;40.63164;0.11825701;0.11087047;54.850044;2.886352;0.13793148;59.049587;0.52767766
